year,name_last,name_first,team,position,salary,years,total_value,avg_annual
2024,Raley,Luke,Mariners,1B,754200,,,
2024,Peguero,Elvis,Brewers,RHP,754300,,,
2024,Pfaadt,Brandon,Diamondbacks,RHP,754400,,,
2024,Bradish,Kyle,Orioles,RHP,754500,,,
2024,Duran,Ezequiel,Rangers,INF,754500,,,
2024,Campusano,Luis,Padres,C,754700,,,
2024,Melendez,MJ,Royals,OF,754750,,,
2024,Assad,Javier,Cubs,RHP,755000,,,
2024,Warren,Austin,Giants,RHP,755000,,,
2024,Bae,Ji-hwan,Pirates,2B,755000,,,
2024,Contreras,Roansy,Pirates,RHP,755000,,,
2024,Cruz,Oneil,Pirates,SS,755000,,,
2024,Delay,Jason,Pirates,C,755000,,,
2024,Falter,Bailey,Pirates,LHP,755000,,,
2024,Hernandez,Jose,Pirates,LHP,755000,,,
2024,Holderman,Colin,Pirates,RHP,755000,,,
2024,Moreta,Dauri,Pirates,RHP,755000,,,
2024,Suwinski,Jack,Pirates,OF,755000,,,
2024,Banks,Tanner,White Sox,LHP,755050,,,
2024,Rortvedt,Ben,Rays,C,755400,,,
2024,Gorman,Nolan,Cardinals,2B,755550,,,
2024,Lowe,Josh,Rays,OF,755700,,,
2024,Jung,Josh,Rangers,3B,756000,,,
2024,Henderson,Gunnar,Orioles,SS,756200,,,
2024,Megill,Trevor,Brewers,RHP,756600,,,
2024,Kremer,Dean,Orioles,RHP,756600,,,
2024,Zavala,Seby,Mariners,C,756700,,,
2024,Pallante,Andre,Cardinals,RHP,756900,,,
2024,Sheets,Gavin,White Sox,INF,756950,,,
2024,Massey,Michael,Royals,2B,757000,,,
2024,Donovan,Brendan,Cardinals,INF,757200,,,
2024,Nelson,Kyle,Diamondbacks,LHP,757300,,,
2024,Walls,Taylor,Rays,INF,757300,,,
2024,Gray,Josiah,Nationals,RHP,757400,,,
2024,Kwan,Steven,Guardians,OF,757600,,,
2024,Brash,Matt,Mariners,RHP,757600,,,
2024,Clement,Ernie,Blue Jays,2B,757700,,,
2024,Siri,Jose,Rays,OF,757800,,,
2024,Isbel,Kyle,Royals,OF,758250,,,
2024,Holton,Tyler,Tigers,LHP,758300,,,
2024,Ryan,Joe,Twins,RHP,758850,,,
2024,Fortes,Nick,Marlins,C,759000,,,
2024,Lambert,Jimmy,White Sox,RHP,759250,,,
2024,O'Hoppe,Logan,Angels,C,760000,,,
2024,Soriano,Jose,Angels,RHP,760000,,,
2024,Kelenic,Jarred,Braves,OF,760000,,,
2024,Lee,Dylan,Braves,LHP,760000,,,
2024,Grove,Michael,Dodgers,RHP,760000,,,
2024,Burger,Jake,Marlins,3B,760000,,,
2024,Casas,Triston,Red Sox,1B,760000,,,
2024,Crawford,Kutter,Red Sox,RHP,760000,,,
2024,Dalbec,Bobby,Red Sox,INF,760000,,,
2024,Duran,Jarren,Red Sox,OF,760000,,,
2024,Winckowski,Josh,Red Sox,RHP,760000,,,
2024,Wong,Connor,Red Sox,C,760000,,,
2024,Diaz,Alexis,Reds,RHP,760000,,,
2024,Gibaut,Ian,Reds,RHP,760000,,,
2024,Lodolo,Nick,Reds,LHP,760000,,,
2024,Moll,Sam,Reds,LHP,760000,,,
2024,Gilbreath,Lucas,Rockies,LHP,760000,,,
2024,Moreno,Gabriel,Diamondbacks,C,760100,,,
2024,Rutschman,Adley,Orioles,C,760300,,,
2024,Henry,Tommy,Diamondbacks,LHP,760500,,,
2024,Pache,Cristian,Phillies,OF,760500,,,
2024,Lange,Alex,Tigers,RHP,760600,,,
2024,Vest,Will,Tigers,RHP,760700,,,
2024,Nootbaar,Lars,Cardinals,OF,761000,,,
2024,Cabrera,Edward,Marlins,RHP,761000,,,
2024,Brogdon,Connor,Phillies,RHP,761000,,,
2024,Carpenter,Kerry,Tigers,OF,761000,,,
2024,Jax,Griffin,Twins,RHP,761750,,,
2024,Ober,Bailey,Twins,RHP,761850,,,
2024,Cuas,Jose,Cubs,RHP,762000,,,
2024,Alvarez,Francisco,Mets,C,762500,,,
2024,Garrett,Braxton,Marlins,LHP,764000,,,
2024,Reyes,Pablo,Red Sox,INF,764000,,,
2024,Nelson,Ryne,Diamondbacks,RHP,764300,,,
2024,McKinstry,Zach,Tigers,INF,764400,,,
2024,Bielak,Brandon,Astros,RHP,765000,,,
2024,Oviedo,Johan,Pirates,RHP,765000,,,
2024,Torkelson,Spencer,Tigers,1B,765700,,,
2024,McCarthy,Jake,Diamondbacks,OF,766000,,,
2024,Vierling,Matt,Tigers,OF,766000,,,
2024,Ibanez,Andy,Tigers,INF,766100,,,
2024,Megill,Tylor,Mets,RHP,766250,,,
2024,Foley,Jason,Tigers,RHP,766300,,,
